	model	Occupation	acc	diff	expected	unexpected	macrodiff
0	gpt2	academic	0.6673850574712644	-0.19226954860248777	18.96062686525542	19.15289641385791	-0.19226954860248924
1	gpt2	accountant	0.8627873563218391	-0.5106701946806633	22.750740747342164	23.261410942022827	-0.5106701946806638
2	gpt2	actor	0.9737787356321839	-0.6742196333134312	18.36300686344333	19.037226496756762	-0.6742196333134309
3	gpt2	actress	0.9425287356321839	-0.614680928745489	19.46616927440139	20.08085020314688	-0.6146809287454893
4	gpt2	administrator	0.9640804597701149	-0.8208325868365408	22.296852563304462	23.117685150141003	-0.8208325868365414
5	gpt2	analyst	0.6497844827586207	-0.146392729090548	21.40444418411145	21.550836913202	-0.14639272909055023
6	gpt2	architect	0.9640804597701149	-0.7365727054661716	21.85091842042989	22.587491125896058	-0.7365727054661697
7	gpt2	artist	0.9917385057471264	-1.108613869239544	19.239235388136457	20.347849257376	-1.1086138692395444
8	gpt2	assistant	0.8286637931034483	-0.4000476934443945	21.363458351157178	21.763506044601574	-0.40004769344439595
9	gpt2	astronaut	0.7561063218390804	-0.2756632539047591	22.43735424883064	22.7130175027354	-0.2756632539047601
10	gpt2	athlete	0.9116379310344828	-0.5432673435786675	19.957830751079253	20.50109809465792	-0.5432673435786661
11	gpt2	attendant	0.891882183908046	-0.6253419813068435	23.335914473424012	23.961256454730854	-0.6253419813068426
12	gpt2	auditor	0.9396551724137931	-0.49121292432149244	22.57185423922265	23.06306716354414	-0.49121292432149133
13	gpt2	author	0.9170258620689655	-0.5924713464303949	20.051819271397317	20.64429061782771	-0.5924713464303935
14	gpt2	broker	0.7704741379310345	-0.3425058643708284	17.77830130204387	18.1208071664147	-0.3425058643708283
15	gpt2	chef	0.9669540229885057	-0.9093115629478433	17.214219106853694	18.123530669801536	-0.9093115629478419
16	gpt2	chief	0.802801724137931	-0.2958180561832998	15.257579039225632	15.553397095408933	-0.29581805618330037
17	gpt2	cleaner	0.5844109195402298	-0.10061496804500449	15.05510117062207	15.155716138667074	-0.10061496804500436
18	gpt2	clergy	0.9956896551724138	-1.4374596702641453	18.127422748625964	19.564882418890107	-1.4374596702641433
19	gpt2	clerk	0.8979885057471264	-0.5122518563407592	17.23680361762814	17.7490554739689	-0.512251856340761
20	gpt2	coach	0.9012212643678161	-0.5244660524801276	15.505171908729379	16.029637961209506	-0.5244660524801272
21	gpt2	collector	0.7654454022988506	-0.3361778022914097	15.483499819862432	15.819677622153842	-0.3361778022914095
22	gpt2	comedian	0.8211206896551724	-0.399552122957405	13.695641845464706	14.09519396842211	-0.39955212295740417
23	gpt2	commander	0.9601293103448276	-0.6550643961319979	17.025779878613594	17.680844274745592	-0.6550643961319977
24	gpt2	composer	0.9698275862068966	-0.7605798292434078	18.339365899562836	19.099945728806244	-0.7605798292434081
25	gpt2	cook	0.8527298850574713	-0.4269242476800392	15.798015983796668	16.224940231476708	-0.42692424768003967
26	gpt2	counselor	0.6979166666666666	-0.2254123526743088	17.20401216512439	17.429424517798697	-0.22541235267430793
27	gpt2	curator	0.9655172413793104	-0.7199660388902686	19.10234541111979	19.82231145001006	-0.71996603889027
28	gpt2	dentist	0.9748563218390804	-0.9951836631215852	17.60673191115774	18.601915574279325	-0.9951836631215834
29	gpt2	designer	0.8207614942528736	-0.38530812969152956	16.380716113523505	16.766024243215035	-0.3853081296915306
30	gpt2	detective	0.7869971264367817	-0.3336223583111818	14.883503468557336	15.217125826868518	-0.3336223583111817
31	gpt2	developer	0.7295258620689655	-0.2963560446240436	15.186705533457898	15.483061578081942	-0.2963560446240443
32	gpt2	diplomat	0.8979885057471264	-0.5303148318981301	17.01457550128301	17.54489033318114	-0.5303148318981314
33	gpt2	director	0.9432471264367817	-0.5191814204057058	15.388241825432614	15.907423245838318	-0.5191814204057046
34	gpt2	doctor	0.9012212643678161	-0.6409465084815847	13.547871028383573	14.188817536865157	-0.6409465084815835
35	gpt2	drawer	0.9859913793103449	-0.8682088595012138	18.466365336001605	19.334574195502817	-0.8682088595012125
36	gpt2	driver	0.6375718390804598	-0.13961976372647558	14.560586894380636	14.700206658107112	-0.13961976372647555
37	gpt2	economist	0.7948994252873564	-0.341356932431802	20.82512175420235	21.16647868663415	-0.34135693243180043
38	gpt2	editor	0.8764367816091954	-0.4278120878099025	21.504103127567248	21.93191521537715	-0.427812087809901
39	gpt2	engineer	0.8911637931034483	-0.5112568773757452	20.673767941779104	21.185024819154847	-0.5112568773757431
40	gpt2	farmer	0.985632183908046	-0.9577477546944015	14.760310175432556	15.718057930126957	-0.9577477546944007
41	gpt2	guard	0.7191091954022989	-0.15317942424752246	14.876361012458801	15.029540436706323	-0.15317942424752218
42	gpt2	guitarist	0.9579741379310345	-0.8615064867611589	19.437005716836314	20.298512203597475	-0.8615064867611615
43	gpt2	historian	0.7438936781609196	-0.3470714955494322	15.956081081738418	16.30315257728785	-0.3470714955494323
44	gpt2	inspector	0.9533045977011494	-0.6959044837403572	21.80614410940258	22.502048593142938	-0.6959044837403567
45	gpt2	instructor	0.9324712643678161	-0.678739280536257	22.86859644212942	23.54733572266568	-0.6787392805362593
46	gpt2	journalist	0.853448275862069	-0.361816736644712	12.116295388203929	12.47811212484864	-0.3618167366447107
47	gpt2	judge	0.766882183908046	-0.24281819250391817	12.584127118532685	12.826945311036603	-0.24281819250391834
48	gpt2	landlord	0.9773706896551724	-0.9145891423197998	16.56736966488005	17.481958807199852	-0.9145891423198016
49	gpt2	lawyer	0.7927442528735632	-0.34439541416606684	12.991940421790913	13.336335835956978	-0.34439541416606545
50	gpt2	legislator	0.9630028735632183	-0.6905003474361595	18.828045275704614	19.518545623140774	-0.69050034743616
51	gpt2	manager	0.8728448275862069	-0.4952896179138929	15.61649496596435	16.111784583878244	-0.4952896179138939
52	gpt2	mechanic	0.9482758620689655	-0.7782300902509142	16.95157762300009	17.729807713251006	-0.7782300902509149
53	gpt2	minister	0.9863505747126436	-0.977380243526108	15.26081703209329	16.2381972756194	-0.9773802435261096
54	gpt2	model	0.6839080459770115	-0.1567928499874027	12.366289315895102	12.523082165882505	-0.1567928499874025
55	gpt2	musician	0.9604885057471264	-0.7163049683146093	14.47908220688502	15.19538717519963	-0.7163049683146099
56	gpt2	nurse	0.7762212643678161	-0.378660513923086	15.148063225650239	15.526723739573326	-0.3786605139230872
57	gpt2	official	0.9823994252873564	-0.7717829206209074	19.369336234427045	20.141119155047953	-0.7717829206209075
58	gpt2	operator	0.9601293103448276	-0.6878306506008938	20.01062107737037	20.698451727971264	-0.687830650600894
59	gpt2	photographer	0.8631465517241379	-0.5086501614115704	15.104101706167746	15.612751867579318	-0.5086501614115715
60	gpt2	physician	0.8936781609195402	-0.6689654771966496	16.475962223849077	17.144927701045727	-0.6689654771966502
61	gpt2	pilot	0.9188218390804598	-0.5102983858736082	16.04468540607513	16.554983791948736	-0.5102983858736074
62	gpt2	poet	0.9992816091954023	-1.4132380490673	14.695059119798671	16.10829716886597	-1.4132380490672993
63	gpt2	politician	0.8742816091954023	-0.4599109977141194	12.883815975024783	13.343726972738901	-0.45991099771411825
64	gpt2	priest	0.9913793103448276	-1.2956728311790817	15.821996379172665	17.117669210351746	-1.2956728311790808
65	gpt2	producer	0.9116379310344828	-0.48172691978257276	15.06205506948219	15.543781989264762	-0.481726919782572
66	gpt2	professor	0.8832614942528736	-0.4922755675754328	15.487294998662225	15.979570566237658	-0.4922755675754331
67	gpt2	psychiatrist	0.9335488505747126	-0.8597455737234532	16.315009400419804	17.17475497414326	-0.8597455737234547
68	gpt2	psychologist	0.7945402298850575	-0.5571027891389254	15.505464283214218	16.062567072353144	-0.5571027891389253
69	gpt2	researcher	0.6652298850574713	-0.22100103278269714	15.666578036615219	15.887579069397916	-0.22100103278269678
70	gpt2	scientist	0.8423132183908046	-0.43034752004448024	14.195715472958554	14.626062993003034	-0.43034752004447974
71	gpt2	secretary	0.7252155172413793	-0.18986525686307884	16.731626662714728	16.921491919577807	-0.18986525686307942
72	gpt2	sewer	0.9321120689655172	-0.7483842962089626	17.079591453417965	17.827975749626926	-0.7483842962089611
73	gpt2	singer	0.9723419540229885	-0.8207079720223087	15.412573837000748	16.233281809023058	-0.8207079720223103
74	gpt2	soldier	0.9885057471264368	-0.8928203099760516	14.372115771660859	15.264936081636911	-0.8928203099760523
75	gpt2	student	0.951867816091954	-0.6825188494276726	13.197119515517663	13.879638364945334	-0.6825188494276713
76	gpt2	supervisor	0.9479166666666666	-0.8417969222726494	17.38607080777486	18.22786773004751	-0.8417969222726498
77	gpt2	surgeon	0.8958333333333334	-0.6743916423841455	17.0567532226272	17.73114486501135	-0.6743916423841476
78	gpt2	tailor	0.8829022988505747	-0.4267086698406044	16.66504092565898	17.091749595499586	-0.42670866984060396
79	gpt2	teacher	0.944683908045977	-0.7320188129770344	13.78910251458486	14.521121327561893	-0.7320188129770333
80	gpt2	technician	0.8020833333333334	-0.34409858132230825	17.060634583577343	17.40473316489965	-0.34409858132230653
81	gpt2	tutor	0.9288793103448276	-0.6047238625329117	19.936381321528863	20.541105184061774	-0.6047238625329108
82	gpt2	veterinarian	0.9008620689655172	-0.7017513314882914	18.583764496548422	19.285515828036715	-0.7017513314882926
83	gpt2	writer	0.8573994252873564	-0.4245770470849399	12.94875347785566	13.3733305249406	-0.4245770470849397
